==============================================================================
GFX-REVIEWERS AUTHOR-PATCH LISTING (raw author %an, no aliasing)
Source: github.com/mozilla-firefox/firefox   Paths: gfx, image, dom/canvas, dom/webgpu   Since: 2025-12-06T21:52:34Z
Excluded paths: gfx/angle, gfx/cairo, gfx/skia, gfx/harfbuzz, gfx/ots, gfx/sfntly, gfx/graphite2
Authors: 105    Patches: 1348    (Lando-format / Lando-author / merge / Revert commits already excluded)
==============================================================================

Known aliases (applied in HTML report, NOT below):
  alastor0325, alwu  ->  Alastor Wu
  az  ->  azebrowski

==============================================================================

[ 1] Nicolas Silva  —  229 patch(es)
    ----------------------------------------------------------------------
      2025-12-15  c00ab92de8d3  Bug 1998913 - Part 12 - Move composite mode gpu block logic into picture_composite_mode.rs. r=gfx-reviewers,jnicol
      2025-12-15  a5133cb16728  Bug 1998913 - Part 11 - Move PictureCompositeKey into picture_composite_mode.rs. r=gfx-reviewers,jnicol
      2025-12-15  8b0792e54c1a  Bug 1998913 - Part 10 - Move SVG filter code from prim_store/picture.rs to svg_filter.rs. r=gfx-reviewers,jnicol
      2025-12-15  613197789927  Bug 1998913 - Part 9 - Inline CompositeState::destroy_native_tiles into TileCacheInstance::pre_update. r=gfx-reviewers,jnicol
      2025-12-15  a9e6d6b9424a  Bug 1998913 - Part 8 - Move picture composite mode related code in its own module. r=gfx-reviewers,gw
      2025-12-15  57e9cc68c277  Bug 1998913 - Part 7 - Extract some tile-cache specific code out of PicturePrimitive::take_context. r=gfx-reviewers,jnicol
      2025-12-15  ebebe161729c  Bug 1998913 - Part 6 - Extract subpixel mode boilerplate out of take_context. r=gfx-reviewers,gw
      2025-12-15  ccc5cf33fd78  Bug 1998913 - Part 5 - Extract the composite mode prep code into its own function. r=gfx-reviewers,gw
      2025-12-15  2f560ef05ad9  Bug 1978773 - Enable precise linear gradients when using SWGL. r=gfx-reviewers,lsalzman
      2025-12-12  fc6f1cb437ff  Bug 1998913 - Part 4 - Move SVG filter code into its own module. r=gfx-reviewers,gw
      2025-12-12  e82e1453748b  Bug 1998913 - Part 3 - Extract surface-related code from picture.rs. r=gfx-reviewers,gw
      2025-12-12  448ac4309f90  Bug 1998913 - Part 2 - Extract dependency tracking and quadtree. r=gfx-reviewers,gw
      2025-12-12  ba574911f617  Bug 1998913 - Part 1 - Extract independent data structures. r=gfx-reviewers,gw
      2025-12-12  dfbf5f194d3f  Bug 1998913 - Part 4 - Move SVG filter code into its own module. r=gfx-reviewers,gw
      2025-12-12  ae7e71f9d748  Bug 1998913 - Part 3 - Extract surface-related code from picture.rs. r=gfx-reviewers,gw
      2025-12-12  531e824b5923  Bug 1998913 - Part 2 - Extract dependency tracking and quadtree. r=gfx-reviewers,gw
      2025-12-12  456ecdfabef1  Bug 1998913 - Part 1 - Extract independent data structures. r=gfx-reviewers,gw
      2025-12-11  837c3a27cf1d  Bug 1978773 - Allow quad conic gradients with SWGL. r=gfx-reviewers,lsalzman
      2025-12-09  3e56e39ac2a5  Bug 1892201 - Add support for caching quad render tasks. r=gw
      2025-12-09  538ed294babe  Bug 1998182 - Add a basic timeline widget to WR's debugger. r=gw
      2025-12-09  9793fb44a87c  Bug 1998182 - Add a way to list draw calls and other interesting renderer commands in the debugger. r=gw
      2025-12-09  cd5cf799ac42  Bug 1998724 - Clean up vertex descriptors. r=gfx-reviewers,lsalzman
      2025-12-09  bf5e2959c72c  Bug 2004043 - Remove unused fields in PictureCacheEntry. r=gfx-reviewers,jnicol
      2025-12-09  5a7797f073eb  Bug 2004043 - Update the quad gpu data diagram. r=gfx-reviewers,jnicol
      2025-12-09  9b8d38ca2d35  Bug 1996818 - FrameGlobalResources is not retained anymore. r=gfx-reviewers,aosmond
      2025-12-09  64ccd102ba7c  Bug 2000466 - Remove unused svg filter implementation. r=gfx-reviewers,lsalzman,ahale
      2025-12-09  8f5d10647c16  Bug 2000393 - Add LinearGradientBrushData. r=gw
      2025-12-09  615bbf309838  Bug 2000393 - Add YuvPrimitive. r=gw
      2025-12-09  0ca69d4f0729  Bug 2000393 - Add QuadHeader. r=gw
      2025-12-09  dad13aef3397  Bug 2000393 - Add QuadPrimitive and QuadSegment. r=gw
      2025-12-09  b598f6fc9a6c  Bug 2000393 - Add BrushSegmentGpuData. r=gw
      2025-12-09  23c67c96b4f2  Bug 2000393 - Rename BrushImageData into BrushImageUserData. r=gw
      2025-12-09  10f57e6c5d56  Bug 2000393 - Add GpuBufferDataF and implement it for image brush data. r=gw
      2025-12-09  d385716b1fae  Bug 1996818 - Avoid re-generating uv rect addresses for images multiple times. r=gw
